Time,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1362406491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1362406610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
